region,region_id,year ,doctors,intensive,infectionist,epidemiologists,GP,pulmologist,nurses 
Благоевград,1,2020,463,18,8,5,180,10,751
Благоевград,1,2021,419,17,7,5,174,9,698
Бургас,2,2020,1367,77,10,3,218,20,2166
Бургас,2,2021,1395,85,10,3,214,20,2145
Варна,3,2020,1447,104,18,13,305,45,1667
Варна,3,2021,1464,93,19,12,306,40,1279
Велико Търново,4,2020,365,28,4,3,133,14,742
Велико Търново,4,2021,367,28,4,3,130,14,681
Видин,5,2020,102,6,3,3,58,8,208
Видин,5,2021,106,6,3,3,57,8,207
Враца,6,2020,362,25,3,2,93,16,721
Враца,6,2021,321,24,3,2,90,12,607
Габрово,7,2020,223,13,4,2,70,19,409
Габрово,7,2021,218,12,4,2,69,18,388
Добрич,8,2020,189,10,2,2,115,6,300
Добрич,8,2021,185,10,1,2,114,6,300
Кърджали,9,2020,240,23,5,1,56,7,418
Кърджали,9,2021,233,23,5,1,56,7,424
Кюстендил,10,2020,223,20,2,3,80,10,368
Кюстендил,10,2021,207,21,3,3,77,8,361
Ловеч,11,2020,199,15,4,0,66,13,260
Ловеч,11,2021,202,15,4,0,63,12,259
Монтана,12,2021,202,19,4,0,78,10,563
Монтана ,12,2020,209,19,5,0,83,9,562
Пазарджик,13,2020,443,36,5,1,156,12,657
Пазарджик,13,2021,451,41,7,1,151,11,619
Перник,14,2020,150,9,1,0,82,4,238
Перник,14,2021,153,9,1,0,82,4,245
Плевен,15,2020,915,93,6,4,194,29,1295
Плевен,15,2021,964,91,8,4,195,30,1313
Пловдив,16,2020,2245,203,33,2,511,47,2106
Пловдив,16,2021,2272,218,38,2,506,38,2079
Разград,17,2020,177,16,4,0,46,5,366
Разград,17,2021,150,18,5,0,44,5,338
Русе,18,2020,495,34,5,2,98,16,981
Русе,18,2021,505,34,5,2,95,16,983
Силистра,19,2020,158,11,3,1,51,5,222
Силистра,19,2021,152,11,2,1,50,5,205
Сливен,20,2020,353,21,8,4,108,11,654
Сливен,20,2021,333,21,8,4,106,9,630
Смолян,21,2020,171,10,2,1,66,5,234
Смолян,21,2021,162,8,2,1,66,5,232
София (столица),22,2020,5659,534,36,13,769,94,5692
София (столица),22,2021,5794,542,36,13,776,93,5404
София,23,2020,586,54,10,2,130,26,1170
София,23,2021,575,55,10,2,112,19,1037
Стара Загора,24,2020,667,66,9,4,208,23,1411
Стара Загора,24,2021,681,43,9,4,210,10,808
Търговище,25,2020,179,12,2,0,48,5,266
Търговище,25,2021,181,12,2,0,48,5,251
Шумен,27,2020,243,16,2,1,93,5,391
Шумен,27,2021,246,16,2,1,91,5,389
Ямбол,28,2020,175,14,3,3,69,5,388
Ямбол,28,2021,178,17,3,2,69,4,371
Хасково,26,2020,390,35,5,5,126,22,1135
Хасково,26,2021,375,32,7,5,125,19,1135
